state,date,year,month,observed,observed_imp,popn,tas,RH
NSW,2013-10-01,2013,10,622,622,7454938.0,17.526802496140398,52.53322748241391
NSW,2013-11-01,2013,11,342,342,7454938.0,18.233766796670498,64.97714317108291
NSW,2013-12-01,2013,12,172,172,7454938.0,21.314576125608465,60.90322051609306
NSW,2014-01-01,2014,1,300,300,7487834.0,22.309704719119384,63.47403354561478
NSW,2014-02-01,2014,2,220,220,7487834.0,21.449416893586907,70.04686950248055
NSW,2014-03-01,2014,3,197,197,7487834.0,20.11149788713856,76.22089043541791
NSW,2014-04-01,2014,4,197,197,7508353.0,17.103752956579466,74.16368573581032
NSW,2014-05-01,2014,5,283,283,7508353.0,14.1550863648658,72.180951094164
NSW,2014-06-01,2014,6,494,494,7508353.0,11.44385434984522,74.51435362783323
NSW,2014-07-01,2014,7,2864,2864,7536277.0,10.220160965902297,67.2911127905099
NSW,2014-08-01,2014,8,11225,11225,7536277.0,10.746909027456091,74.13296685588503
NSW,2014-09-01,2014,9,3833,3833,7536277.0,14.014976932303789,64.86191946881246
NSW,2014-10-01,2014,10,832,832,7562171.0,17.883713431616993,60.08437242586303
NSW,2014-11-01,2014,11,210,210,7562171.0,20.45902099500274,63.35925816020958
NSW,2014-12-01,2014,12,214,214,7562171.0,21.449584571355533,67.72667394909737
NSW,2015-01-01,2015,1,366,366,7595731.0,22.15867122026329,70.72232257251702
NSW,2015-02-01,2015,2,350,350,7595731.0,21.34620198189473,74.35171581723982
NSW,2015-03-01,2015,3,402,402,7595731.0,19.91950478988974,68.1053188315523
NSW,2015-04-01,2015,4,364,364,7616168.0,16.13532768273922,76.60969053140899
NSW,2015-05-01,2015,5,486,486,7616168.0,13.24480406571106,73.38229985128072
NSW,2015-06-01,2015,6,926,926,7616168.0,10.447626638355302,78.99504928215534
NSW,2015-07-01,2015,7,3360,3360,7645324.0,9.108810848541063,73.02194143714905
NSW,2015-08-01,2015,8,11864,11864,7645324.0,11.200049409435332,67.99878165643452
NSW,2015-09-01,2015,9,9948,9948,7645324.0,13.266069530208505,68.01097976415562
NSW,2015-10-01,2015,10,1804,1804,7671401.0,18.90829797587127,64.2960503529661
NSW,2015-11-01,2015,11,284,284,7671401.0,20.07784637034421,67.98077205845578
NSW,2015-12-01,2015,12,152,152,7671401.0,21.03949016007029,64.50368729797016
NSW,2016-01-01,2016,1,334,334,7707412.0,21.74127946751089,70.02430262050156
NSW,2016-02-01,2016,2,579,579,7707412.0,22.347009227381623,68.48189281385702
NSW,2016-03-01,2016,3,662,662,7707412.0,21.01517755980549,71.34758846113812
NSW,2016-04-01,2016,4,874,874,7732858.0,18.26817445939245,72.60700418326725
NSW,2016-05-01,2016,5,621,621,7732858.0,14.409371254849702,65.59168763097254
NSW,2016-06-01,2016,6,999,999,7732858.0,11.384942578993188,74.09481191093411
NSW,2016-07-01,2016,7,4688,4688,7767915.0,11.038046403690174,73.30367360456833
NSW,2016-08-01,2016,8,11414,11414,7767915.0,11.272812468901902,70.6692140175709
NSW,2016-09-01,2016,9,11772,11772,7767915.0,13.992665378287112,69.33866995210725
NSW,2016-10-01,2016,10,2050,2050,7795625.0,16.025321482713547,57.41804820036658
NSW,2016-11-01,2016,11,930,930,7795625.0,19.71961887431576,59.59171859007949
NSW,2016-12-01,2016,12,640,640,7795625.0,22.806089040522856,62.872632948179344
NSW,2017-01-01,2017,1,668,668,7833463.0,24.331737325565182,65.03247286371395
NSW,2017-02-01,2017,2,699,699,7833463.0,23.535886212093363,65.63356173585468
NSW,2017-03-01,2017,3,962,962,7833463.0,20.58692099681292,77.82705171719178
NSW,2017-04-01,2017,4,523,523,7855316.0,15.98794130693441,71.93965304950964
NSW,2017-05-01,2017,5,871,871,7855316.0,13.277087943544345,74.40549794591327
NSW,2017-06-01,2017,6,3580,3580,7855316.0,10.953164405181557,79.34091211786088
NSW,2017-07-01,2017,7,14727,14727,7884752.0,10.160992618508494,63.57620796854778
